I,D,Dmean,Dstd
10,"0,622","0,604","0,0119498954"
10,"0,592","0,604","0,0119498954"
10,"0,604","0,604","0,0119498954"
10,"0,606","0,604","0,0119498954"
10,"0,594","0,604","0,0119498954"
15,"0,888","0,882","0,007924645102"
15,"0,876","0,882","0,007924645102"
15,"0,872","0,882","0,007924645102"
15,"0,890","0,882","0,007924645102"
15,"0,886","0,882","0,007924645102"
20,"1,128","1,152","0,01971801207"
20,"1,140","1,152","0,01971801207"
20,"1,158","1,152","0,01971801207"
20,"1,180","1,152","0,01971801207"
20,"1,156","1,152","0,01971801207"
25,"1,434","1,430","0,01019803903"
25,"1,420","1,430","0,01019803903"
25,"1,444","1,430","0,01019803903"
25,"1,420","1,430","0,01019803903"
25,"1,432","1,430","0,01019803903"
30,"1,696","1,700","0,02363895091"
30,"1,714","1,700","0,02363895091"
30,"1,682","1,700","0,02363895091"
30,"1,732","1,700","0,02363895091"
30,"1,674","1,700","0,02363895091"
35,"1,966","1,982","0,01472412986"
35,"1,982","1,982","0,01472412986"
35,"1,976","1,982","0,01472412986"
35,"2,006","1,982","0,01472412986"
35,"1,982","1,982","0,01472412986"
40,"2,256","2,266","0,01516575089"
40,"2,288","2,266","0,01516575089"
40,"2,250","2,266","0,01516575089"
40,"2,262","2,266","0,01516575089"
40,"2,274","2,266","0,01516575089"
